L5E5,L5S5,L5R5,E5R5,E5S5,S5R5,S5S5,E5E5,R5R5
0.079538983,0.129891016,0.124534868,0.042060066,0.017237124,0.034996799,0.021515476,0.031957317,0.114461213
0.068888101,0.131110033,0.133745148,0.044382652,0.015624067,0.036382129,0.020017468,0.024046282,0.11475739
0.065845199,0.129590215,0.162240422,0.042861621,0.015356598,0.036368952,0.020486623,0.024733729,0.112100694
0.06267036,0.132662167,0.146114708,0.041088571,0.015006662,0.037599483,0.021102368,0.025846297,0.131730787
0.079678392,0.133422584,0.124399095,0.032115432,0.014214455,0.028416214,0.020557304,0.019469788,0.090315889
0.066324793,0.131708743,0.12230798,0.047558511,0.01547793,0.040787204,0.020538927,0.024489852,0.157149734
0.070972564,0.130897158,0.129840154,0.038882395,0.015140596,0.036551441,0.02083256,0.022804328,0.132517896
0.072148899,0.129899834,0.221840873,0.026534135,0.013229467,0.035989126,0.020991411,0.01933469,0.08078976
0.068380552,0.132138085,0.141534103,0.048514339,0.015498565,0.040873488,0.021056403,0.025302203,0.139398394
0.066888711,0.125832163,0.150665932,0.045453146,0.014329703,0.036237187,0.019686602,0.022742471,0.100295313
0.069724811,0.132829216,0.105329337,0.036215481,0.015218648,0.030666836,0.020330374,0.025787687,0.111847847
0.066334607,0.132507376,0.180104253,0.033028122,0.013521656,0.034324453,0.020246329,0.020914142,0.090237335
0.07729064,0.130051551,0.16111445,0.038968944,0.016234321,0.034112048,0.02085659,0.025469251,0.101780117
0.067090781,0.133505017,0.103865425,0.035288436,0.014221554,0.03305051,0.020709628,0.024823777,0.133472756
0.074308112,0.129189682,0.144131384,0.050030231,0.016763602,0.039484394,0.020628234,0.02328753,0.123226136
0.082616127,0.130407848,0.281063811,0.027330546,0.012177522,0.040198678,0.020104996,0.015343604,0.069948566
0.078060863,0.12769328,0.143303853,0.040619496,0.016904229,0.032982919,0.019516616,0.026664644,0.100453239
0.069556438,0.133070059,0.132234246,0.044624891,0.016391142,0.039756154,0.021417912,0.027320562,0.152683008
0.067728684,0.131364195,0.131534668,0.036359781,0.014669773,0.033900613,0.021131074,0.023484476,0.130482957
0.056093084,0.131273291,0.139757807,0.045982066,0.014244032,0.038407907,0.020948377,0.023432313,0.120344653
0.0922298,0.12608599,0.145426644,0.030588374,0.01583673,0.029561059,0.021364339,0.020470751,0.066858379
0.098189688,0.143398164,0.16720466,0.014963313,0.014012691,0.024035164,0.021739452,0.011202963,0.023929557
0.068714992,0.134324552,0.139091524,0.041538477,0.015917332,0.037509377,0.021451584,0.024747271,0.12685113
0.081426811,0.125094873,0.132970658,0.043710112,0.0151035,0.034152313,0.020277673,0.023972564,0.111253873
0.06776406,0.1287085,0.137720301,0.045428118,0.015390283,0.03600669,0.020709496,0.024883913,0.110328028
0.080601351,0.143013738,0.097639171,0.021445181,0.014024672,0.021926735,0.021019213,0.017796382,0.065661391
0.103543616,0.13204674,0.080590463,0.011551904,0.014664017,0.01303,0.020259584,0.012350054,0.020656047
0.103664733,0.132967006,0.164816061,0.018912831,0.014265549,0.024512181,0.019994237,0.011797979,0.037052725
0.094541511,0.131541543,0.22725737,0.028437891,0.015005385,0.038218158,0.020253327,0.017936238,0.078306118
0.064474171,0.130413728,0.124648777,0.042581709,0.014314409,0.033532751,0.020246485,0.023724331,0.118946857
0.105926085,0.130616316,0.20805223,0.023808863,0.016229441,0.030501803,0.021626549,0.01700034,0.042666042
0.071090453,0.129024507,0.131915855,0.04629217,0.016659674,0.034410615,0.020229648,0.026698925,0.099507869
0.058888815,0.132439073,0.148309165,0.039011787,0.013662993,0.032298528,0.020330271,0.023644073,0.082125888
0.067596087,0.125811988,0.108207634,0.038574367,0.014093185,0.032209529,0.018656897,0.023993445,0.122237871
0.095019091,0.12321061,0.141044873,0.036803169,0.019463494,0.02880248,0.021746745,0.031577992,0.073425959
0.082693185,0.1249992,0.127900315,0.037440367,0.016401576,0.030267533,0.02075005,0.027330783,0.085433481
0.074683992,0.131955762,0.135285749,0.038936779,0.016649936,0.033440294,0.021718739,0.026510711,0.110411948
0.098505871,0.12290284,0.19196893,0.012667326,0.014156297,0.026476606,0.017840675,0.01035536,0.02439943
0.080469274,0.129721361,0.155589214,0.032898407,0.016239051,0.031217188,0.021955197,0.025439906,0.081497875
0.090133523,0.133237599,0.161653366,0.011293066,0.012567808,0.022704712,0.020593627,0.009215184,0.020536709
0.088556349,0.13350977,0.164378475,0.014538897,0.012651644,0.023823765,0.020231483,0.011739707,0.025264752
0.070068501,0.128902712,0.142710999,0.036314909,0.015063587,0.030418808,0.020486478,0.023300376,0.083708909
0.101051446,0.144186809,0.242006843,0.02394636,0.017304013,0.037380657,0.025401294,0.017891651,0.052249941
0.075135356,0.126930314,0.135356288,0.040530287,0.01678436,0.033073074,0.021027987,0.028722208,0.092723563
0.063766752,0.137965506,0.203047634,0.024834949,0.011333738,0.029980632,0.019890131,0.016140235,0.055465823
0.087275427,0.143993254,0.099754013,0.027968958,0.016096048,0.023123549,0.022955288,0.024805171,0.073342887
0.14398677,0.156448093,0.175551678,0.010581626,0.02076665,0.02485599,0.030560136,0.012135909,0.020442835
0.090623705,0.134845028,0.168109093,0.010908642,0.012722558,0.022985767,0.019586469,0.009837459,0.019818623
0.097467312,0.133011075,0.151058396,0.011661985,0.013498246,0.021210539,0.020160267,0.008854309,0.021717971
0.089500864,0.129095852,0.169345233,0.036079721,0.017771392,0.032698689,0.021878381,0.025944176,0.075293315
0.073542501,0.127643048,0.123041334,0.040749839,0.01677732,0.030933615,0.021220396,0.02981681,0.088421666
0.08796403,0.142723206,0.14010309,0.035168897,0.016861514,0.030772785,0.02273726,0.027644525,0.077017042
0.083788133,0.142542955,0.12192791,0.040495479,0.017252783,0.033276505,0.022663906,0.025339306,0.09239948
0.107139562,0.132153796,0.171027855,0.022459924,0.016590959,0.027546039,0.02215868,0.018546445,0.045015205
0.086422358,0.137849548,0.159117088,0.048555699,0.018249519,0.035810085,0.022599069,0.026916639,0.073906258
0.103548459,0.123141295,0.121893117,0.017942099,0.015477653,0.020510867,0.019855776,0.017850836,0.035420765
0.07136154,0.146918936,0.16655479,0.032358894,0.013998731,0.032643008,0.023184382,0.022033024,0.083844042
0.071951592,0.141298041,0.186992863,0.044796497,0.016559133,0.037639837,0.022807029,0.023883651,0.099949403
0.092106137,0.121060466,0.171337529,0.024877714,0.015102412,0.02685707,0.01789459,0.020336129,0.032174391
0.08765266,0.131067286,0.136162836,0.04574889,0.017613256,0.034336083,0.02189482,0.025269641,0.096483109
0.089616749,0.12883864,0.143676185,0.034902285,0.015767946,0.029251439,0.020829332,0.021225869,0.075079671
0.073693751,0.130912027,0.124115248,0.038229301,0.016096729,0.03170453,0.020876235,0.026424941,0.091451731
0.089770234,0.13167112,0.14430295,0.034002536,0.01651557,0.028636819,0.021209457,0.024578044,0.076059435
0.079140675,0.137991696,0.141456679,0.036933446,0.016680532,0.031617268,0.021860824,0.029438794,0.084234823
